id,country_id,name,user_id
1,141,ALBA,1
2,141,ARAD,1
3,141,ARGES,1
4,141,BACAU,1
5,141,BIHOR,1
6,141,BISTRITA - NASAUD,1
7,141,BOTOSANI,1
8,141,BRASOV,1
9,141,BRAILA,1
10,141,BUZAU,1
11,141,CARAS - SEVERIN,1
12,141,CALARASI,1
13,141,CLUJ,1
14,141,CONSTANTA,1
15,141,COVASNA,1
16,141,DAMBOVITA,1
17,141,DOLJ,1
18,141,GALATI,1
19,141,GIURGIU,1
20,141,GORJ,1
21,141,HARGHITA,1
22,141,HUNEDOARA,1
23,141,IALOMITA,1
24,141,IASI,1
25,141,ILFOV,1
26,141,MARAMURES,1
27,141,MEHEDINTI,1
28,141,MURES,1
29,141,NEAMT,1
30,141,OLT,1
31,141,PRAHOVA,1
32,141,SATU MARE,1
33,141,SALAJ,1
34,141,SIBIU,1
35,141,SUCEAVA,1
36,141,TELEORMAN,1
37,141,TIMIS,1
38,141,TULCEA,1
39,141,VASLUI,1
40,141,VALCEA,1
41,141,VRANCEA,1
42,141,BUCURESTI,1
